Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Mean F1 score
marine_sample_0-kraken2_minikraken-0.00,0.8457171527437176,0.9739866947108234,0.14008097165991906,0.8237172542611021,0.8737373737373737,0.8925714896636465,0.2414515003489184,6601779.0,94.77491387880669,8.488610801642404,0.10742851033635346,0.10982165289281746,0.9436936715907246,5.521460914986245,1269.5882352941173,0.23729994498589524,0.5376146195868867,0.014380561156548403,0.5670114950062825
marine_sample_0-kraken2_minikraken-0.05,0.6974168931535535,0.9784551472503707,0.24643874643874644,0.6823911488854563,0.8737373737373737,0.8040348268452457,0.3844444444444444,11074999.0,75.26008446511031,10.928306086400598,0.19596517315475415,0.12373136769257835,0.9433859564681462,5.4928636348406235,823.1294117647058,0.2379442412280826,0.5809279263276195,0.02516162661478032,0.594239635644845
marine_sample_0-kraken2_minikraken-0.10,0.4692622479372899,0.9817707233262084,0.5972222222222222,0.4607079365870757,0.8686868686868687,0.6271282573738862,0.7078189300411524,18240430.0,65.29678258508521,13.215472114450312,0.3728717426261137,0.13593907084739382,0.9434605997002506,5.486077733477662,339.25,0.2377845190984084,0.6714967068252343,0.06141243458214776,0.6674735937075194
marine_sample_0-kraken2_minikraken-0.15,0.2625580158337085,0.9833432740618824,0.7953488372093023,0.2581846589211105,0.8636363636363636,0.4089866060540952,0.828087167070218,24844196.0,60.157341880220926,18.238650314967707,0.5910133939459049,0.145119254788193,0.9438272227742016,5.4917936484777865,222.85714285714286,0.2370137708042724,0.7087838099910962,0.08280101181398468,0.6185368865621566
marine_sample_0-kraken2_minikraken-0.20,0.1213177497139943,0.9835276310026938,0.8636363636363636,0.11931935897478255,0.8636363636363636,0.21281988803836627,0.8636363636363636,29388613.0,56.07502283593811,27.89151481647793,0.7871801119616337,0.15147378314650228,0.94428879460745,5.497765655864635,201.75,0.2360437248078144,0.7206067208072477,0.09065510277364124,0.5382281258373649
marine_sample_0-kraken2_minikraken-0.25,0.05484620867108637,0.9844580752458938,0.9042553191489362,0.05399379302287235,0.8585858585858586,0.10237282473792016,0.8808290155440415,31525459.0,51.73782551828696,36.865513821834405,0.8976271752620798,0.1551866918283441,0.9448809966300188,5.50341393820695,188.5,0.2347984113247824,0.72848622820616,0.09650299553614797,0.49160092014098083
marine_sample_0-kraken2_minikraken-0.30,0.017608160315773128,0.9859311568246172,0.9189189189189191,0.017360433869683514,0.8585858585858586,0.034120075971671486,0.8877284595300262,32725026.0,46.90327707216314,51.55738257996038,0.9658799240283286,0.1583399148548658,0.9455430170972352,5.508526063741046,186.5,0.23343346385709296,0.7314097808774925,0.09926009700274767,0.4609242677508488
marine_sample_0-kraken2_minikraken-0.35,0.0045930309216547106,0.9859276503361146,0.9392265193370166,0.004528396184508147,0.8585858585858586,0.009015384429560718,0.8970976253298153,33146170.0,40.92156947439973,69.03205030257516,0.9909846155704392,0.1616378101743913,0.9462788229569912,5.518277175757379,182.0,0.2320514293276598,0.7357854093057256,0.10284327675899342,0.453056504879688
marine_sample_0-kraken2_minikraken-0.40,0.0009682295638446737,0.985978844185253,0.9494382022471909,0.0009546538662655627,0.8535353535353535,0.0019074608725224726,0.898936170212766,33263457.0,35.93642496019316,89.61839989387396,0.9980925391274776,0.1659725544325906,0.9470393466185832,5.509457421609897,179.0,0.2314023318421964,0.7369788492976912,0.106078327388256,0.4504218155426442
marine_sample_0-kraken2_minikraken-0.45,0.00015816288374247142,0.9853778959361944,0.95625,0.00015585020959735742,0.7727272727272727,0.00031165112755365934,0.8547486033519552,33289678.0,31.262437351562763,107.16110305696094,0.9996883488724464,0.18039105226944746,0.9479890847548476,5.484537635521454,164.4,0.23515862991210715,0.7490564731646446,0.1201670835927566,0.4275301272397545
