Sample name	Faith's phylogenetic diversity
HMP_even_illum_SRR172902-kraken2_refseqV205-0.25	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.20	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.30	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.15	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.45	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.40	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.35	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.10	75.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.00	73.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.05	75.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.80	84.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.75	84.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.60	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.95	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.65	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.90	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.85	84.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.55	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.70	84.5
HMP_even_illum_SRR172902-kraken2_refseqV205-0.50	76.5
HMP_even_illum_SRR172902-kraken2_refseqV205-1.00	76.5
ZymoMock-kraken2_refseqV205-0.35	39.5
ZymoMock-kraken2_refseqV205-0.40	39.5
ZymoMock-kraken2_refseqV205-0.30	42.5
ZymoMock-kraken2_refseqV205-0.10	39.5
ZymoMock-kraken2_refseqV205-0.25	40.5
ZymoMock-kraken2_refseqV205-0.20	39.5
ZymoMock-kraken2_refseqV205-0.15	39.5
ZymoMock-kraken2_refseqV205-0.05	39.5
ZymoMock-kraken2_refseqV205-0.00	40.5
ZymoMock-kraken2_refseqV205-0.75	38.5
ZymoMock-kraken2_refseqV205-0.60	37.5
ZymoMock-kraken2_refseqV205-0.50	37.5
ZymoMock-kraken2_refseqV205-0.70	38.5
ZymoMock-kraken2_refseqV205-0.85	35.5
ZymoMock-kraken2_refseqV205-0.80	35.5
ZymoMock-kraken2_refseqV205-0.55	36.5
ZymoMock-kraken2_refseqV205-0.45	39.5
ZymoMock-kraken2_refseqV205-0.90	35.5
ZymoMock-kraken2_refseqV205-0.65	36.5
BioPool-kraken2_refseqV205-0.15	40.5
ZymoMock-kraken2_refseqV205-1.00	35.5
BioPool-kraken2_refseqV205-0.35	41.5
BioPool-kraken2_refseqV205-0.25	40.5
ZymoMock-kraken2_refseqV205-0.95	35.5
BioPool-kraken2_refseqV205-0.30	39.5
BioPool-kraken2_refseqV205-0.05	40.5
BioPool-kraken2_refseqV205-0.20	40.5
BioPool-kraken2_refseqV205-0.10	40.5
BioPool-kraken2_refseqV205-0.00	42.5
BioPool-kraken2_refseqV205-0.60	39.5
BioPool-kraken2_refseqV205-0.65	39.5
BioPool-kraken2_refseqV205-0.75	39.5
BioPool-kraken2_refseqV205-0.55	39.5
BioPool-kraken2_refseqV205-0.80	39.5
BioPool-kraken2_refseqV205-0.50	40.5
BioPool-kraken2_refseqV205-0.40	43.5
BioPool-kraken2_refseqV205-0.85	39.5
BioPool-kraken2_refseqV205-0.70	39.5
BioPool-kraken2_refseqV205-0.45	42.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.10	76.5
BioPool-kraken2_refseqV205-1.00	43.5
BioPool-kraken2_refseqV205-0.90	38.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.20	76.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.15	76.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.30	76.5
BioPool-kraken2_refseqV205-0.95	36.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.05	80.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.25	76.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.00	86.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.40	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.50	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.80	63.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.70	64.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.45	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.75	63.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.60	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.55	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.65	69.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.35	73.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.85	57.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.15	33.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.20	33.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.25	33.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.95	48.5
HMP_even_454_SRR072233-kraken2_refseqV205-1.00	22.5
HMP_even_454_SRR072233-kraken2_refseqV205-0.90	48.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.10	35.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.05	37.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.00	35.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.60	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.55	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.70	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.65	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.45	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.30	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.40	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.35	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.75	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.50	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.80	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.90	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.85	32.5
ABRF_MGRG_1ng-kraken2_refseqV205-1.00	34.5
ABRF_MGRG_1ng-kraken2_refseqV205-0.95	28.5
JGI_SRR033549-kraken2_refseqV205-0.05	57.5
