Sample name	McIntosh's evenness
ABRF_MGRG_1ng-kraken2_refseqV205-0.15	0.07809139355682466
ABRF_MGRG_1ng-kraken2_refseqV205-0.20	0.15221534232766673
HMP_even_454_SRR072233-kraken2_refseqV205-0.95	0.6870798914300524
ABRF_MGRG_1ng-kraken2_refseqV205-0.25	0.3130688652481709
HMP_even_454_SRR072233-kraken2_refseqV205-1.00	0.695934794545913
HMP_even_454_SRR072233-kraken2_refseqV205-0.90	0.6755118392426092
ABRF_MGRG_1ng-kraken2_refseqV205-0.10	0.03631380181224766
ABRF_MGRG_1ng-kraken2_refseqV205-0.05	0.015362349023485765
ABRF_MGRG_1ng-kraken2_refseqV205-0.00	0.005761089614547716
ABRF_MGRG_1ng-kraken2_refseqV205-0.60	1.1122885205474062
ABRF_MGRG_1ng-kraken2_refseqV205-0.55	1.3520967219359188
ABRF_MGRG_1ng-kraken2_refseqV205-0.70	0.862422355186205
ABRF_MGRG_1ng-kraken2_refseqV205-0.65	1.0104736180107992
ABRF_MGRG_1ng-kraken2_refseqV205-0.45	2.5854427677207146
ABRF_MGRG_1ng-kraken2_refseqV205-0.30	0.8052542511213747
ABRF_MGRG_1ng-kraken2_refseqV205-0.40	5.211457698619978
ABRF_MGRG_1ng-kraken2_refseqV205-0.75	0.8057129713988148
ABRF_MGRG_1ng-kraken2_refseqV205-0.35	2.3916836505032926
ABRF_MGRG_1ng-kraken2_refseqV205-0.50	1.683276007080964
ABRF_MGRG_1ng-kraken2_refseqV205-0.80	0.7594225575438713
ABRF_MGRG_1ng-kraken2_refseqV205-0.90	0.6981422332300427
ABRF_MGRG_1ng-kraken2_refseqV205-0.85	0.7156098776082659
ABRF_MGRG_1ng-kraken2_refseqV205-0.95	0.6959389550284458
ABRF_MGRG_1ng-kraken2_refseqV205-1.00	0.6774996451570858
JGI_SRR033549-kraken2_refseqV205-0.05	0.1121546102669447
JGI_SRR033549-kraken2_refseqV205-0.10	1.5758843345106595
JGI_SRR033549-kraken2_refseqV205-0.15	3.038028931410307
JGI_SRR033549-kraken2_refseqV205-0.20	1.4034503091959745
JGI_SRR033549-kraken2_refseqV205-0.00	0.01792535166896754
JGI_SRR033549-kraken2_refseqV205-0.30	0.6877399748279067
JGI_SRR033549-kraken2_refseqV205-0.60	0.5886974173861276
JGI_SRR033549-kraken2_refseqV205-0.55	0.5434644353465024
JGI_SRR033549-kraken2_refseqV205-0.65	0.5721507261438886
JGI_SRR033549-kraken2_refseqV205-0.25	0.856287940129762
JGI_SRR033549-kraken2_refseqV205-0.40	0.5797666466917251
JGI_SRR033549-kraken2_refseqV205-0.35	0.6082758201849618
JGI_SRR033549-kraken2_refseqV205-0.45	0.5688418889259459
JGI_SRR033549-kraken2_refseqV205-0.70	0.5717118788728409
JGI_SRR033549-kraken2_refseqV205-0.50	0.5481879177872826
JGI_SRR033548-kraken2_refseqV205-0.10	0.5392554629543812
JGI_SRR033548-kraken2_refseqV205-0.15	0.4999731337688582
JGI_SRR033549-kraken2_refseqV205-0.80	0.5988051404958353
JGI_SRR033548-kraken2_refseqV205-0.05	0.940425671745675
JGI_SRR033549-kraken2_refseqV205-0.75	0.5824387050140565
JGI_SRR033549-kraken2_refseqV205-0.90	0.5571087719078905
JGI_SRR033549-kraken2_refseqV205-0.85	0.6024526694593316
JGI_SRR033548-kraken2_refseqV205-0.00	0.31435900451680915
JGI_SRR033549-kraken2_refseqV205-0.95	0.5699934769152581
JGI_SRR033549-kraken2_refseqV205-1.00	0.7449031115250248
JGI_SRR033548-kraken2_refseqV205-0.60	0.5292759244783213
JGI_SRR033548-kraken2_refseqV205-0.45	0.5140533922005494
