Sample name	Weighted unifrac distance relative abundance
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.55	372.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.40	427.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.50	384.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.70	366.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.75	366.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.30	422.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.60	361.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.35	437.0
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.85	373.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.95	374.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-1.00	369.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.80	373.5
ABRF_MGRG_1ng-kraken2_refseqV205_proportions-0.90	365.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.10	76.36363636363636
JGI_SRR033549-kraken2_refseqV205_proportions-0.05	73.75
JGI_SRR033549-kraken2_refseqV205_proportions-0.20	75.80952380952382
JGI_SRR033549-kraken2_refseqV205_proportions-0.15	74.425
JGI_SRR033549-kraken2_refseqV205_proportions-0.00	69.41176470588235
JGI_SRR033549-kraken2_refseqV205_proportions-0.30	1087.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.40	1107.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.60	1077.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.55	1093.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.50	1102.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.35	1098.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.25	81.76923076923077
JGI_SRR033549-kraken2_refseqV205_proportions-0.70	1066.0
JGI_SRR033549-kraken2_refseqV205_proportions-0.45	1079.5
JGI_SRR033549-kraken2_refseqV205_proportions-0.65	1080.5
JGI_SRR033549-kraken2_refseqV205_proportions-1.00	1088.0
JGI_SRR033548-kraken2_refseqV205_proportions-0.00	75.57142857142858
JGI_SRR033549-kraken2_refseqV205_proportions-0.75	1075.5
