Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean F1 score
marine_sample_0-kraken2_refseqV205_100GB-0.00,0.8728220916380989,0.30537761788021817,0.061224489795918366,0.2665403311776721,0.9266409266409268,0.2846403108632039,0.1148600143575018,43165803.0,125.74719215736401,19.462581341057824,0.7153596891367958,0.7333680092119645,0.9693225250622336,6.490723612004987,4090.5243902439024,0.17517427609264202,0.5437648059003919,0.008315614024095402,3920.0,0.19975016261035286
marine_sample_0-kraken2_refseqV205_100GB-0.05,0.4005202376957832,0.5783553460895964,0.1060159865376525,0.2316430206884321,0.972972972972973,0.33079567785403025,0.19119878603945373,30197220.0,127.04709134750702,16.8452015177466,0.6692043221459697,0.7304044369237661,0.9741952188740912,6.719639511636465,3169.747572815534,0.1606682487319954,0.5991693033932749,0.016303116745059458,2377.0,0.26099723194674196
marine_sample_0-kraken2_refseqV205_100GB-0.10,0.11309171963329168,0.8179215475008089,0.41765704584040747,0.09250015433198952,0.9498069498069498,0.16620401122463424,0.5801886792452831,29902644.0,89.35202108658883,23.12892657372256,0.8337959887753658,0.7344157934014559,0.9724573204518868,6.488961959362806,616.5555555555555,0.16598665887169695,0.7051591658176277,0.061642254752452386,589.0,0.37319634523495865
marine_sample_0-kraken2_refseqV205_100GB-0.15,0.021412372499973083,0.8718777902756357,0.6575342465753424,0.01866897201983532,0.9266409266409268,0.03655521026075256,0.7692307692307693,31706389.0,81.75821309676144,43.41455323275757,0.9634447897392474,0.7363472195130216,0.9734174934849431,6.5138977875072195,367.5,0.16312749433762325,0.7652827863394397,0.10306499975257816,365.0,0.40289298974576093
marine_sample_0-kraken2_refseqV205_100GB-0.20,0.002913204465009904,0.8994374720334107,0.7985865724381626,0.002620245259524953,0.8725868725868726,0.005225268244269824,0.8339483394833951,32144519.0,70.52502699912841,70.50317900399999,0.9947747317557302,0.7396538333760784,0.9724580872707491,6.384744952174432,283.3333333333333,0.1664576675677697,0.7839180923022337,0.1282978760164613,283.0,0.41958680386383246
marine_sample_0-kraken2_refseqV205_100GB-0.25,0.000442247665955617,0.9044845252298408,0.8904109589041096,0.00040000617017587145,0.752895752895753,0.0007996586931611312,0.8158995815899581,32207976.0,54.370012011616964,90.8257170629372,0.9992003413068388,0.7486185947642908,0.9713317721596788,6.197522261059624,221.14285714285717,0.1719475313610475,0.7971308041686148,0.15927772274921834,219.0,0.4083496201415596
marine_sample_0-kraken2_refseqV205_100GB-0.30,3.081984225517073e-05,0.8721047331319235,0.9493670886075948,2.687813030511365e-05,0.28957528957528955,5.375460390181455e-05,0.4437869822485207,32218764.0,30.69289743239117,74.8701775942969,0.9999462453960982,0.7968917173097231,0.9521352387153174,5.2131954226878925,87.66666666666669,0.2374192198170636,0.8269950416970672,0.2644581840242475,79.0,0.22192036842621127
marine_sample_0-kraken2_refseqV205_100GB-0.35,1.8932632201061573e-06,1.0,1.0,1.8932632201061573e-06,0.027027027027027032,3.7865192713346464e-06,0.052631578947368425,32219442.0,23.410815151356577,25.92342997095223,0.9999962134807286,0.9484481805942192,0.7530233808116098,2.39751921616094,7.0,0.5506362355850675,0.8540135760261186,0.5784237525260377,7.0,0.02631768273331988
marine_sample_0-kraken2_refseqV205_100GB-0.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32219503.0,24.199853748228396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marine_sample_0-kraken2_refseqV205_100GB-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32219503.0,24.199853748228396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
