File name,User time (m),System time (m),Wall time (m),Maximum set size (Gb),Threads,CPU (%),Confidence
RefSeqV205_time,6.719800638,1.949562998,1.259001595,955.8791668,12,570.4066986,0
RefSeqV205_time,6.689411483,1.94792504,1.209168262,955.8729471,12,592.3779904,0.05
RefSeqV205_time,6.618948963,1.938818979,1.180208134,955.8628064,12,600.7129187,0.1
RefSeqV205_time,6.620023126,1.938292663,1.1771563,955.8609451,12,602.1244019,0.15
RefSeqV205_time,6.641266348,1.939175439,1.178,955.8540658,12,602.7416268,0.2
RefSeqV205_time,6.653863636,1.943700957,1.182136364,955.8506956,12,601.2679426,0.25
RefSeqV205_time,6.617448963,1.938874003,1.178499203,955.8498349,12,601.1196172,0.3
RefSeqV205_time,6.621337321,1.938489633,1.177743222,955.8448344,12,601.8181818,0.35
RefSeqV205_time,6.606362041,1.935912281,1.175523923,955.8299965,12,600.8325359,0.4
RefSeqV205_time,6.596870813,1.934952153,1.175373206,955.8247811,12,601.0143541,0.45
RefSeqV205_time,6.629519139,1.938263158,1.175430622,955.8201343,12,603.15311,0.5
RefSeqV205_time,6.633644338,1.93722807,1.176327751,955.8088127,12,602.2440191,0.55
RefSeqV205_time,6.618502392,1.936793461,1.175627592,955.8065022,12,602.0813397,0.6
RefSeqV205_time,6.675345295,1.93838756,1.178980861,955.7978994,12,603.9473684,0.65
RefSeqV205_time,6.608579745,1.938001595,1.174906699,955.790364,12,602.5215311,0.7
RefSeqV205_time,6.64280622,1.932497608,1.175149123,955.7873439,12,603.3827751,0.75
RefSeqV205_time,6.614724083,1.937736045,1.171524721,955.7802784,12,604.8899522,0.8
RefSeqV205_time,6.693197767,1.950411483,1.186569378,955.775726,12,602.5358852,0.85
RefSeqV205_time,6.627996013,1.94072807,1.174511962,955.7670871,12,604.3397129,0.9
RefSeqV205_time,6.665723285,1.9390311,1.177025518,955.7684383,12,605.0526316,0.95
RefSeqV205_time,6.655527113,1.940789474,1.176255981,955.7705777,12,604.8229665,1
,,,1.182624782,955.8192018,,,
