File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_RefSeqV208_nt_ani95_cLOW_stTrue_r4_0.45,355.90,45.96,0:44.17,322683844, 12 ,909%
kraken2_RefSeqV208_nt_UnAmbiguouslyMapped_ds.buccal_0.70,10.20,13.91,0:06.24,109431820, 12 ,386%
kraken2_RefSeqV208_nt_ani97_cHIGH_stFalse_r9_0.20,337.10,44.18,0:42.62,322730796, 12 ,894%
kraken2_RefSeqV208_nt_MGRG_nanopore_b3.pass.2d_0.95,0.17,0.03,0:00.06,181032, 12 ,302%
kraken2_RefSeqV208_nt_ani97_cLOW_stFalse_r1_0.80,333.66,45.88,0:42.43,322657484, 12 ,894%
kraken2_RefSeqV208_nt_UnAmbiguouslyMapped_ds.soil_0.00,41.46,39.68,0:19.16,321703892, 12 ,423%
kraken2_RefSeqV208_nt_ani100_cLOW_stTrue_r6_0.50,337.30,45.82,0:42.79,322652804, 12 ,895%
kraken2_RefSeqV208_nt_ani99_cHIGH_stTrue_r9_0.50,336.18,44.50,0:42.18,322724608, 12 ,902%
kraken2_RefSeqV208_nt_ani99_cLOW_stFalse_r9_0.90,328.48,44.49,0:41.80,322620052, 12 ,892%
kraken2_RefSeqV208_nt_ani100_cLOW_stFalse_r9_0.10,331.62,43.71,0:41.64,322698556, 12 ,901%
kraken2_RefSeqV208_nt_UnAmbiguouslyMapped_ds.cityparks_0.85,20.14,37.81,0:16.01,311443088, 12 ,361%
kraken2_RefSeqV208_nt_ani100_cHIGH_stFalse_r8_0.70,355.19,44.92,0:43.94,322595408, 12 ,910%
kraken2_RefSeqV208_nt_RM1_S001__insert_5000_0.55,849.47,55.13,1:27.61,322548000, 12 ,1032%
kraken2_RefSeqV208_nt_NA12878_NegControl_SL126486_0_0.40,438.61,53.21,0:52.88,322876472, 12 ,929%
kraken2_RefSeqV208_nt_ani97_cLOW_stFalse_r6_0.00,387.50,51.48,0:58.59,322735492, 12 ,749%
kraken2_RefSeqV208_nt_ani97_cHIGH_stTrue_r1_0.40,360.31,47.20,0:45.07,322744980, 12 ,904%
kraken2_RefSeqV208_nt_ABRF_MGRG_5ng_0.50,71.89,36.25,0:18.62,305850232, 12 ,580%
kraken2_RefSeqV208_nt_ani97_cLOW_stTrue_r6_0.55,329.47,44.81,0:41.80,322737840, 12 ,895%
kraken2_RefSeqV208_nt_ani97_cHIGH_stFalse_r6_0.20,366.89,47.05,0:45.86,322742148, 12 ,902%
kraken2_RefSeqV208_nt_ani95_cLOW_stFalse_r4_0.05,323.54,42.65,0:40.60,322726520, 12 ,901%
kraken2_RefSeqV208_nt_ani99_cLOW_stFalse_r1_0.10,358.71,46.69,0:45.04,322696900, 12 ,899%
kraken2_RefSeqV208_nt_ani100_cLOW_stFalse_r1_0.90,352.64,45.39,0:44.21,322480776, 12 ,900%
kraken2_RefSeqV208_nt_Raiphy_eval_RAIphy_0.85,21.14,35.39,0:15.89,306099912, 12 ,355%
kraken2_RefSeqV208_nt_ani99_cHIGH_stTrue_r6_0.50,358.08,45.78,0:44.40,322737928, 12 ,909%
kraken2_RefSeqV208_nt_ani100_cLOW_stTrue_r9_0.50,357.42,47.08,0:44.98,322743524, 12 ,899%
kraken2_RefSeqV208_nt_ani100_cHIGH_stTrue_r1_0.50,349.66,45.35,0:44.13,322734376, 12 ,895%
kraken2_RefSeqV208_nt_ani100_cHIGH_stFalse_r7_0.70,343.05,44.36,0:42.93,322604684, 12 ,902%
kraken2_RefSeqV208_nt_ani100_cLOW_stFalse_r6_0.10,338.28,44.69,0:42.64,322615880, 12 ,898%
kraken2_RefSeqV208_nt_ani99_cLOW_stFalse_r6_0.90,353.57,46.28,0:44.00,322670620, 12 ,908%
