File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
minikrakenV2_ani97_cHIGH_stTrue_r3_0.25,155.46,6.76,0:14.13,8261960, 12 ,1147%
minikrakenV2_ani100_cHIGH_stFalse_r4_0.75,151.73,6.79,0:25.60,8160264, 12 ,619%
minikrakenV2_ani97_cLOW_stFalse_r4_0.65,158.90,5.90,0:14.32,8153680, 12 ,1150%
minikrakenV2_ani97_cHIGH_stTrue_r1_1.00,155.26,6.40,0:14.09,8160752, 12 ,1146%
minikrakenV2_JGI_SRR033548_0.60,0.61,0.93,0:00.66,6848980, 12 ,231%
minikrakenV2_ani99_cLOW_stTrue_r5_0.95,168.72,7.67,0:15.51,8159772, 12 ,1136%
minikrakenV2_Huttenhower_LC4_0.75,1.81,1.50,0:00.87,8009992, 12 ,380%
minikrakenV2_ani97_cHIGH_stFalse_r8_0.10,155.34,7.80,0:14.33,8365912, 12 ,1137%
minikrakenV2_ani97_cLOW_stTrue_r8_0.70,164.02,7.21,0:14.95,8157648, 12 ,1144%
minikrakenV2_ani99_cLOW_stTrue_r2_0.15,159.47,6.13,0:14.42,8385100, 12 ,1147%
minikrakenV2_ani100_cLOW_stTrue_r4_0.35,171.30,7.88,0:15.68,8184864, 12 ,1142%
minikrakenV2_ani100_cLOW_stFalse_r8_0.20,155.49,7.27,0:14.27,8249836, 12 ,1140%
minikrakenV2_ani95_cLOW_stFalse_r9_0.60,157.82,6.60,0:14.51,8161852, 12 ,1132%
minikrakenV2_RH_S003__insert_270_0.15,993.39,19.24,1:25.18,8235416, 12 ,1188%
minikrakenV2_NA12878_NegControl_SL126487_0_0.25,359.90,14.82,0:40.84,8426556, 12 ,917%
minikrakenV2_UnAmbiguouslyMapped_ds.hous2_0.15,4.11,1.56,0:01.07,8138944, 12 ,527%
minikrakenV2_MGRG_nanopore_R6_2d_pass_1.00,5.60,1.40,0:01.06,8091392, 12 ,661%
minikrakenV2_ani97_cHIGH_stFalse_r7_0.10,159.57,6.95,0:14.63,8411392, 12 ,1137%
minikrakenV2_ani95_cLOW_stTrue_r5_0.60,153.92,7.11,0:14.11,8152956, 12 ,1140%
minikrakenV2_ani99_cHIGH_stFalse_r2_0.80,158.72,6.47,0:14.42,8156884, 12 ,1145%
minikrakenV2_ABRF_MGRG_Normal_0.35,33.91,2.81,0:03.69,8144548, 12 ,993%
minikrakenV2_JGI_SRR033547_0.60,0.09,0.02,0:00.04,50540, 12 ,252%
minikrakenV2_ani99_cHIGH_stTrue_r4_0.35,162.79,7.19,0:14.90,8171980, 12 ,1140%
minikrakenV2_ani99_cHIGH_stFalse_r5_0.00,169.66,8.92,0:39.53,8453336, 12 ,451%
minikrakenV2_ani99_cLOW_stFalse_r3_0.75,159.61,7.05,0:14.58,8160280, 12 ,1142%
minikrakenV2_ani97_cHIGH_stFalse_r0_0.90,155.40,6.22,0:14.14,8154812, 12 ,1142%
minikrakenV2_MGRG_nanopore_b3.pass.2d_0.85,0.08,0.01,0:00.03,43532, 12 ,256%
minikrakenV2_UnAmbiguouslyMapped_ds.soil_0.65,19.74,2.39,0:02.51,8157752, 12 ,880%
minikrakenV2_ani97_cLOW_stTrue_r7_0.70,157.57,6.04,0:14.24,8149512, 12 ,1148%
minikrakenV2_UnAmbiguouslyMapped_ds.frankengenome.mix_0.70,47.32,3.03,0:04.82,8110928, 12 ,1043%
minikrakenV2_NA12878_NegControl_SL126488_0_0.95,152.50,6.97,0:13.95,8163156, 12 ,1142%
minikrakenV2_ani95_cLOW_stFalse_r6_0.60,155.09,6.64,0:14.23,8158296, 12 ,1136%
minikrakenV2_ani100_cHIGH_stTrue_r0_0.60,167.04,6.65,0:15.29,8165772, 12 ,1135%
minikrakenV2_RM1_S002__insert_5000_0.55,352.85,8.93,0:30.91,8145832, 12 ,1170%
minikrakenV2_ani100_cLOW_stFalse_r7_0.20,148.37,7.25,0:13.71,8236172, 12 ,1135%
minikrakenV2_MGRG_nanopore_b9.fail.2d_0.70,0.14,0.13,0:00.15,820964, 12 ,176%
minikrakenV2_ani99_cLOW_stTrue_r6_0.00,173.98,9.56,0:39.09,8481636, 12 ,469%
minikrakenV2_ani99_cLOW_stFalse_r8_0.60,155.55,6.66,0:14.15,8156644, 12 ,1146%
minikrakenV2_ani100_cLOW_stTrue_r0_0.20,159.59,6.89,0:14.51,8337940, 12 ,1147%
minikrakenV2_ani100_cHIGH_stFalse_r0_0.60,156.23,6.34,0:16.78,8162780, 12 ,968%
minikrakenV2_ani97_cHIGH_stTrue_r7_0.30,157.38,6.85,0:14.32,8223368, 12 ,1146%
minikrakenV2_ani97_cLOW_stFalse_r0_0.70,159.11,6.70,0:14.48,8156236, 12 ,1144%
minikrakenV2_ani99_cHIGH_stFalse_r9_0.95,156.75,7.07,0:22.40,8163292, 12 ,731%
minikrakenV2_ani99_cLOW_stTrue_r1_0.80,157.21,6.90,0:24.68,8150108, 12 ,665%
minikrakenV2_ani99_cHIGH_stTrue_r0_0.20,161.10,6.85,0:14.67,8316700, 12 ,1144%
minikrakenV2_ani99_cHIGH_stFalse_r1_0.15,165.83,6.98,0:15.15,8426080, 12 ,1140%
minikrakenV2_MGRG_nanopore_b1.pass.2d_0.05,0.13,0.07,0:00.11,499296, 12 ,180%
minikrakenV2_ani99_cLOW_stTrue_r9_0.00,175.87,10.18,0:34.23,8491312, 12 ,543%
minikrakenV2_ani99_cLOW_stFalse_r7_0.60,149.46,7.09,0:13.65,8153048, 12 ,1146%
minikrakenV2_ani97_cHIGH_stFalse_r4_0.85,154.96,5.68,0:14.04,8161324, 12 ,1143%
minikrakenV2_MGRG_nanopore_b7.pass.2d_0.20,0.17,0.57,0:00.60,3439472, 12 ,124%
minikrakenV2_ani97_cLOW_stTrue_r3_0.65,161.40,6.98,0:14.72,8151840, 12 ,1143%
minikrakenV2_UnAmbiguouslyMapped_ds.hous1_0.80,5.82,1.71,0:01.22,8125344, 12 ,616%
minikrakenV2_MGRG_nanopore_b8.fail.2d_0.30,0.71,1.37,0:00.91,7719608, 12 ,229%
minikrakenV2_ani95_cLOW_stFalse_r2_0.75,151.15,6.49,0:13.81,8149988, 12 ,1141%
minikrakenV2_ani100_cHIGH_stTrue_r4_0.75,159.85,6.81,0:14.61,8165692, 12 ,1140%
minikrakenV2_ani100_cLOW_stFalse_r3_0.35,155.51,6.71,0:14.15,8177920, 12 ,1145%
minikrakenV2_ani97_cHIGH_stTrue_r8_0.30,161.36,6.98,0:14.74,8222484, 12 ,1141%
minikrakenV2_BioPool_0.65,8.24,1.71,0:01.45,8128016, 12 ,686%
minikrakenV2_UnAmbiguouslyMapped_ds.7_0.70,41.42,3.75,0:04.46,8159144, 12 ,1012%
minikrakenV2_ani97_cHIGH_stFalse_r3_0.05,158.12,6.62,0:14.46,8486976, 12 ,1139%
minikrakenV2_ani95_cLOW_stTrue_r1_0.75,160.93,7.13,0:14.79,8157668, 12 ,1135%
minikrakenV2_ani99_cHIGH_stFalse_r6_0.95,162.32,6.80,0:14.78,8152568, 12 ,1144%
minikrakenV2_ani97_cHIGH_stFalse_r5_0.20,157.46,6.02,0:14.26,8280920, 12 ,1145%
minikrakenV2_MGRG_nanopore_b7.fail.2d_0.10,0.97,1.42,0:00.82,7905304, 12 ,290%
minikrakenV2_ani95_cLOW_stTrue_r7_0.50,164.59,7.46,0:15.10,8168792, 12 ,1139%
minikrakenV2_MGRG_nanopore_b1.fail.2d_0.35,0.20,0.27,0:00.34,2052448, 12 ,137%
minikrakenV2_ani99_cHIGH_stTrue_r1_0.85,158.75,6.03,0:16.96,8154964, 12 ,971%
minikrakenV2_ani100_cLOW_stFalse_r2_0.90,146.43,5.95,0:13.36,8156572, 12 ,1139%
minikrakenV2_UnAmbiguouslyMapped_ds.hous2_1.00,4.05,1.50,0:01.09,8100604, 12 ,505%
minikrakenV2_MGRG_nanopore_R6_2d_pass_0.15,5.79,1.69,0:01.19,8079604, 12 ,624%
minikrakenV2_ani97_cLOW_stFalse_r9_0.55,153.17,6.12,0:13.86,8156936, 12 ,1148%
minikrakenV2_UnAmbiguouslyMapped_ds.gut_0.50,3.82,1.53,0:01.00,8102860, 12 ,532%
minikrakenV2_MGRG_nanopore_b8.pass.2d_0.00,0.18,0.09,0:00.18,527336, 12 ,150%
minikrakenV2_ani100_cHIGH_stFalse_r9_0.45,154.33,7.03,0:22.36,8161084, 12 ,721%
minikrakenV2_ani97_cHIGH_stTrue_r9_0.95,162.63,6.64,0:14.77,8162560, 12 ,1145%
minikrakenV2_ani95_cLOW_stFalse_r4_0.50,148.41,7.05,0:13.69,8166240, 12 ,1135%
minikrakenV2_ani100_cHIGH_stTrue_r2_0.50,163.38,6.25,0:14.93,8158004, 12 ,1136%
minikrakenV2_ani100_cLOW_stFalse_r5_0.10,158.33,6.93,0:14.45,8372492, 12 ,1143%
minikrakenV2_ani99_cHIGH_stTrue_r6_0.05,161.66,6.81,0:14.84,8470416, 12 ,1134%
minikrakenV2_ani100_cLOW_stTrue_r9_0.05,169.75,8.52,0:38.81,8488324, 12 ,459%
minikrakenV2_ani99_cHIGH_stFalse_r7_0.30,157.69,7.22,0:14.48,8215104, 12 ,1138%
