File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
kraken2_chocophlanV30_ani97_cLOW_stFalse_r9_0.85,323.30,22.31,0:33.78,76433588, 12 ,1023%
kraken2_chocophlanV30_ani95_cLOW_stFalse_r3_0.00,334.40,24.27,1:07.34,76486448, 12 ,532%
kraken2_chocophlanV30_ani95_cLOW_stTrue_r1_0.65,311.38,21.42,0:32.72,76404696, 12 ,1017%
kraken2_chocophlanV30_ani99_cHIGH_stTrue_r1_0.55,322.53,21.06,0:33.59,76444296, 12 ,1022%
kraken2_chocophlanV30_ani99_cLOW_stFalse_r6_0.15,331.92,20.22,0:33.76,76446156, 12 ,1042%
kraken2_chocophlanV30_HMP_even_illum_SRR172902_1.00,65.40,13.47,0:10.58,76160364, 12 ,745%
kraken2_chocophlanV30_RH_S002__insert_270_0.25,2437.97,48.74,3:32.45,77214092, 12 ,1170%
kraken2_chocophlanV30_ani99_cLOW_stTrue_r9_0.10,314.57,19.16,0:31.99,76478400, 12 ,1043%
kraken2_chocophlanV30_ani99_cLOW_stFalse_r1_0.95,345.16,27.84,0:35.76,76305992, 12 ,1042%
kraken2_chocophlanV30_ani97_cLOW_stTrue_r3_0.75,307.36,21.18,0:32.25,76452724, 12 ,1018%
kraken2_chocophlanV30_MGRG_nanopore_b3.fail.2d_0.40,0.14,0.21,0:00.26,1302456, 12 ,134%
kraken2_chocophlanV30_ani95_cLOW_stFalse_r4_0.80,324.93,22.78,0:34.15,76467356, 12 ,1018%
kraken2_chocophlanV30_ani97_cHIGH_stTrue_r9_0.45,344.78,22.28,0:35.69,76445484, 12 ,1028%
kraken2_chocophlanV30_ani100_cLOW_stFalse_r2_0.60,340.23,22.03,0:35.25,76443956, 12 ,1027%
kraken2_chocophlanV30_ani97_cLOW_stFalse_r6_0.85,332.84,22.09,0:34.56,76449296, 12 ,1026%
kraken2_chocophlanV30_ani100_cHIGH_stTrue_r5_0.20,333.12,22.82,0:34.84,76460856, 12 ,1021%
kraken2_chocophlanV30_Huttenhower_HC2_0.30,14.47,13.64,0:07.21,76169748, 12 ,389%
kraken2_chocophlanV30_ani99_cLOW_stTrue_r1_0.90,316.02,19.00,0:32.12,76449380, 12 ,1043%
kraken2_chocophlanV30_ani99_cHIGH_stFalse_r0_0.40,307.88,19.77,0:31.58,76468660, 12 ,1037%
kraken2_chocophlanV30_ani99_cLOW_stFalse_r9_0.15,329.52,19.98,0:33.35,74972880, 12 ,1047%
kraken2_chocophlanV30_ani100_cLOW_stTrue_r1_0.55,324.43,22.17,0:33.90,76488688, 12 ,1022%
kraken2_chocophlanV30_RM2_S002__insert_270_1.00,2478.74,55.63,3:37.18,76262872, 12 ,1166%
kraken2_chocophlanV30_ani97_cHIGH_stFalse_r2_0.50,296.97,19.02,0:30.58,76473140, 12 ,1033%
kraken2_chocophlanV30_MGRG_nanopore_b4.fail.2d_0.25,0.49,3.20,0:03.56,22661192, 12 ,103%
kraken2_chocophlanV30_ani99_cLOW_stTrue_r6_0.10,310.93,19.56,0:31.61,76433452, 12 ,1045%
kraken2_chocophlanV30_RL_S001__insert_270_0.40,2501.50,56.23,3:38.60,77040016, 12 ,1170%
kraken2_chocophlanV30_NA12878_NegControl_SL126488_0_0.75,258.55,20.69,0:28.09,76152196, 12 ,993%
kraken2_chocophlanV30_ani97_cHIGH_stTrue_r6_0.45,328.69,22.39,0:34.21,76472204, 12 ,1026%
kraken2_chocophlanV30_UnAmbiguouslyMapped_ds.frankengenome_0.35,13.48,12.75,0:06.67,76121628, 12 ,393%
kraken2_chocophlanV30_ani97_cLOW_stFalse_r1_0.05,301.41,20.87,0:32.96,76459604, 12 ,977%
kraken2_chocophlanV30_Mavromatis_simHC_0.45,21.90,14.73,0:09.22,76119124, 12 ,397%
kraken2_chocophlanV30_ani100_cHIGH_stFalse_r1_0.30,358.52,22.92,0:40.69,76380116, 12 ,937%
kraken2_chocophlanV30_RH_S001__insert_270_0.45,2590.82,50.44,3:45.37,76845556, 12 ,1171%
kraken2_chocophlanV30_Huttenhower_LC1_0.20,3.72,12.48,0:06.07,73527872, 12 ,266%
kraken2_chocophlanV30_ani99_cLOW_stFalse_r5_0.80,303.71,18.96,0:30.96,76126280, 12 ,1042%
kraken2_chocophlanV30_ani97_cLOW_stTrue_r7_0.60,308.10,21.39,0:32.40,76459664, 12 ,1016%
kraken2_chocophlanV30_ani97_cHIGH_stFalse_r9_0.45,315.08,22.39,0:32.92,76475272, 12 ,1025%
kraken2_chocophlanV30_ani95_cLOW_stFalse_r0_0.95,310.57,20.56,0:32.49,76425608, 12 ,1019%
kraken2_chocophlanV30_ani100_cHIGH_stFalse_r8_1.00,357.21,23.07,0:36.77,76337336, 12 ,1034%
kraken2_chocophlanV30_ani100_cLOW_stFalse_r9_0.75,324.78,22.07,0:33.82,76424664, 12 ,1025%
kraken2_chocophlanV30_ani95_cLOW_stFalse_r7_0.15,306.54,21.63,0:32.36,76444940, 12 ,1014%
kraken2_chocophlanV30_UnAmbiguouslyMapped_ds.nycsm_0.95,8.00,12.52,0:06.09,74274972, 12 ,336%
kraken2_chocophlanV30_JGI_SRR033548_0.60,1.12,6.98,0:04.26,45838748, 12 ,190%
kraken2_chocophlanV30_ani95_cLOW_stTrue_r5_0.70,307.10,19.84,0:31.49,76451148, 12 ,1038%
kraken2_chocophlanV30_ani99_cHIGH_stTrue_r5_0.40,333.98,23.62,0:34.87,76489452, 12 ,1025%
kraken2_chocophlanV30_ani99_cLOW_stFalse_r2_0.00,361.82,39.99,0:43.03,76445060, 12 ,933%
kraken2_chocophlanV30_Raiphy_eval_RAIphy_0.85,20.04,13.13,0:07.74,76142072, 12 ,428%
kraken2_chocophlanV30_ani97_cHIGH_stFalse_r6_0.45,308.06,20.22,0:31.58,76468808, 12 ,1039%
kraken2_chocophlanV30_ani97_cLOW_stTrue_r8_0.60,303.91,18.80,0:31.00,76449408, 12 ,1041%
kraken2_chocophlanV30_ani99_cLOW_stTrue_r2_0.05,330.37,22.72,0:40.36,76414124, 12 ,874%
kraken2_chocophlanV30_ani97_cHIGH_stTrue_r2_0.50,309.10,20.13,0:31.75,76483036, 12 ,1036%
kraken2_chocophlanV30_ani100_cHIGH_stFalse_r7_1.00,341.97,23.35,0:35.39,76345596, 12 ,1032%
kraken2_chocophlanV30_ani97_cLOW_stFalse_r5_0.10,326.17,20.70,0:34.64,76477272, 12 ,1001%
kraken2_chocophlanV30_ani100_cHIGH_stFalse_r5_0.25,369.69,23.97,0:37.84,76464220, 12 ,1040%
kraken2_chocophlanV30_Huttenhower_LC5_0.35,3.66,12.14,0:05.98,73214720, 12 ,264%
kraken2_chocophlanV30_JGI_SRR033547_0.60,0.11,0.03,0:00.06,208444, 12 ,243%
kraken2_chocophlanV30_ani95_cLOW_stFalse_r8_0.15,307.46,21.12,0:32.34,76471588, 12 ,1015%
