File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
GTDBr202RefSeqV205_ani95_cLOW_stTrue_r2_0.55,373.36,122.49,1:16.16,589243472, 12 ,651%
GTDBr202RefSeqV205_ani100_cLOW_stTrue_r3_0.35,380.35,202.18,1:58.51,1115167968, 12 ,491%
GTDBr202RefSeqV205_Huttenhower_LC7_0.50,4.10,25.91,0:10.83,136795304, 12 ,277%
GTDBr202RefSeqV205_Mavromatis_simLC_0.45,21.30,102.13,0:42.96,551051460, 12 ,287%
GTDBr202RefSeqV205_ani100_cLOW_stFalse_r8_0.15,342.98,197.52,1:57.07,1090092944, 12 ,461%
GTDBr202RefSeqV205_ani97_cLOW_stFalse_r3_0.65,360.15,193.55,1:49.74,1095182004, 12 ,504%
GTDBr202RefSeqV205_ani97_cHIGH_stTrue_r4_0.25,384.76,194.39,1:54.16,1111618096, 12 ,507%
GTDBr202RefSeqV205_ani97_cHIGH_stTrue_r6_1.00,432.64,202.75,1:59.55,1113215628, 12 ,531%
GTDBr202RefSeqV205_ani100_cHIGH_stFalse_r5_0.55,371.45,200.06,1:57.24,1108903708, 12 ,487%
GTDBr202RefSeqV205_ani97_cHIGH_stFalse_r8_0.25,384.55,192.82,1:51.60,1095845956, 12 ,517%
GTDBr202RefSeqV205_ani97_cLOW_stTrue_r0_0.45,406.24,205.15,1:59.57,1109224244, 12 ,511%
GTDBr202RefSeqV205_ani99_cLOW_stFalse_r4_0.75,380.72,203.10,1:58.31,1112305364, 12 ,493%
GTDBr202RefSeqV205_Huttenhower_LC8_0.50,4.37,29.21,0:12.30,157261140, 12 ,273%
GTDBr202RefSeqV205_ani99_cHIGH_stTrue_r3_0.35,366.36,203.99,2:00.54,1121575728, 12 ,473%
GTDBr202RefSeqV205_ani99_cHIGH_stFalse_r5_0.35,388.65,204.04,2:01.63,1119792424, 12 ,487%
GTDBr202RefSeqV205_ani100_cHIGH_stTrue_r0_0.55,406.19,216.24,2:04.56,1119840988, 12 ,499%
GTDBr202RefSeqV205_ani100_cLOW_stFalse_r7_0.15,398.33,199.49,1:59.23,1109974172, 12 ,501%
GTDBr202RefSeqV205_ani95_cLOW_stFalse_r1_0.60,445.57,279.87,2:59.17,973222732, 12 ,404%
GTDBr202RefSeqV205_UnAmbiguouslyMapped_ds.gut_0.75,8.37,39.43,0:17.43,235884148, 12 ,274%
GTDBr202RefSeqV205_ani97_cHIGH_stTrue_r9_1.00,389.53,200.30,1:57.41,1113745168, 12 ,502%
GTDBr202RefSeqV205_ani100_cLOW_stFalse_r0_0.95,343.57,196.68,1:52.10,1081529432, 12 ,481%
GTDBr202RefSeqV205_ani97_cHIGH_stFalse_r5_1.00,387.45,196.46,1:52.25,1076124616, 12 ,520%
GTDBr202RefSeqV205_Mavromatis_simMC_0.30,25.35,111.37,0:47.03,612344924, 12 ,290%
GTDBr202RefSeqV205_RH_S004__insert_270_0.90,2958.05,272.33,5:38.00,1122592972, 12 ,955%
GTDBr202RefSeqV205_ani97_cHIGH_stFalse_r7_0.25,367.16,190.21,1:56.29,1091091056, 12 ,479%
GTDBr202RefSeqV205_ani99_cLOW_stTrue_r5_0.20,379.62,198.01,1:57.16,1120099568, 12 ,493%
GTDBr202RefSeqV205_Raiphy_eval_RAIphy_0.55,24.96,107.08,0:47.38,638722320, 12 ,278%
GTDBr202RefSeqV205_ani97_cLOW_stFalse_r7_0.70,364.51,192.49,1:54.45,1091717048, 12 ,486%
GTDBr202RefSeqV205_ani97_cHIGH_stTrue_r0_0.30,391.65,199.84,1:57.54,1104041696, 12 ,503%
GTDBr202RefSeqV205_MGRG_nanopore_b9.fail.2d_0.20,0.19,0.54,0:00.64,2850448, 12 ,115%
GTDBr202RefSeqV205_ani100_cHIGH_stFalse_r1_0.40,378.90,191.83,1:46.89,998655532, 12 ,533%
GTDBr202RefSeqV205_UnAmbiguouslyMapped_ds.soil_0.35,44.33,164.87,1:12.82,926815248, 12 ,287%
GTDBr202RefSeqV205_ani97_cLOW_stTrue_r4_0.50,411.84,201.07,1:55.98,1109432432, 12 ,528%
GTDBr202RefSeqV205_ani95_cLOW_stTrue_r6_0.40,370.28,146.85,1:24.67,742306976, 12 ,610%
GTDBr202RefSeqV205_ani99_cHIGH_stTrue_r8_0.20,362.87,202.48,1:57.67,1121958064, 12 ,480%
GTDBr202RefSeqV205_ani100_cLOW_stTrue_r7_0.20,363.95,202.99,1:57.34,1092310960, 12 ,483%
GTDBr202RefSeqV205_Huttenhower_LC3_0.45,4.17,26.54,0:11.22,140781464, 12 ,273%
GTDBr202RefSeqV205_NegControl_LM_0.75,17.81,145.46,1:07.01,793029008, 12 ,243%
GTDBr202RefSeqV205_RH_S002__insert_270_0.50,3019.49,269.24,5:43.49,1123459800, 12 ,957%
GTDBr202RefSeqV205_BMI_bmi_reads_0.55,96.57,111.99,0:46.57,491752668, 12 ,447%
GTDBr202RefSeqV205_MGRG_nanopore_b7.pass.2d_0.70,0.40,2.71,0:02.97,14436308, 12 ,104%
GTDBr202RefSeqV205_MGRG_nanopore_b1.pass.2d_0.55,0.14,0.33,0:00.38,1642724, 12 ,124%
GTDBr202RefSeqV205_ani100_cLOW_stFalse_r4_0.80,379.32,214.84,2:00.56,1107374392, 12 ,492%
GTDBr202RefSeqV205_ani97_cLOW_stFalse_r8_0.70,385.75,200.43,1:54.80,1061814648, 12 ,510%
GTDBr202RefSeqV205_RL_S001__insert_270_0.35,2866.03,265.53,5:29.71,1123900652, 12 ,949%
GTDBr202RefSeqV205_RH_S001__insert_270_0.30,3013.86,255.99,5:42.57,1123952892, 12 ,954%
GTDBr202RefSeqV205_MGRG_nanopore_b8.fail.2d_0.60,1.68,17.78,0:09.64,95451028, 12 ,201%
GTDBr202RefSeqV205_ani97_cHIGH_stFalse_r3_0.30,390.18,190.82,1:48.09,1047351584, 12 ,537%
GTDBr202RefSeqV205_ani99_cLOW_stTrue_r1_0.35,351.15,204.19,1:53.95,1087007328, 12 ,487%
GTDBr202RefSeqV205_ani99_cLOW_stFalse_r0_0.60,377.18,190.48,1:49.55,1029987480, 12 ,518%
GTDBr202RefSeqV205_UnAmbiguouslyMapped_ds.hous2_0.60,8.44,44.54,0:19.85,279703676, 12 ,266%
GTDBr202RefSeqV205_ani100_cLOW_stTrue_r8_0.20,380.51,206.82,2:01.64,1115735512, 12 ,482%
GTDBr202RefSeqV205_ani99_cHIGH_stTrue_r7_0.20,378.51,211.10,2:01.86,1121153600, 12 ,483%
