File name,User time (m),System time (m),Wall time (m),Maximum set size (Gb),Threads,CPU (%),Confidence
RefSeqV208_nt_time,6.225856682769726,0.7509838969404188,0.8232487922705313,290.7560045797101,12.0,701.2028985507246,0.00
RefSeqV208_nt_time,6.262487922705315,0.7273953301127214,0.7817238325281803,290.733566937198,12.0,741.4975845410628,0.05
RefSeqV208_nt_time,6.0898550724637674,0.7043816425120771,0.7405096618357488,290.711478589372,12.0,761.9855072463768,0.10
RefSeqV208_nt_time,6.1316296296296295,0.705074879227053,0.7419339774557168,290.7028158647343,12.0,763.5797101449275,0.15
RefSeqV208_nt_time,6.1521336553945245,0.7090032206119162,0.7425088566827698,290.6957583768116,12.0,765.8792270531401,0.20
RefSeqV208_nt_time,6.047835748792271,0.7011714975845411,0.7315724637681158,290.6902467246377,12.0,765.8260869565217,0.25
RefSeqV208_nt_time,6.1149557165861514,0.7053486312399356,0.7380748792270531,290.68735037681165,12.0,765.9371980676328,0.30
RefSeqV208_nt_time,6.085963768115942,0.7017431561996778,0.7342061191626408,290.6797017584541,12.0,766.3768115942029,0.35
RefSeqV208_nt_time,6.08855072463768,0.7043945249597423,0.7364484702093398,290.6758803478261,12.0,764.7632850241546,0.40
RefSeqV208_nt_time,6.159332528180355,0.7038735909822867,0.7408099838969404,290.6703914589372,12.0,766.5555555555555,0.45
RefSeqV208_nt_time,6.115305958132045,0.7058099838969405,0.738868760064412,290.6663802512077,12.0,766.1545893719807,0.50
RefSeqV208_nt_time,6.147286634460547,0.7047254428341384,0.7391135265700485,290.6639709951691,12.0,767.9565217391304,0.55
RefSeqV208_nt_time,6.104022544283413,0.7044838969404187,0.7347737520128824,290.65876915942033,12.0,768.9323671497584,0.60
RefSeqV208_nt_time,6.107884863123993,0.7031634460547503,0.7360942028985507,290.6547721352657,12.0,766.5507246376811,0.65
RefSeqV208_nt_time,6.137305958132045,0.699963768115942,0.7367246376811595,290.6479449468599,12.0,767.6570048309179,0.70
RefSeqV208_nt_time,6.0676296296296295,0.7022399355877617,0.7323083735909823,290.6423364637681,12.0,767.0289855072464,0.75
RefSeqV208_nt_time,6.1236038647343,0.7034420289855073,0.7372648953301126,290.63417598067633,12.0,768.2753623188406,0.80
RefSeqV208_nt_time,6.193026570048309,0.7044025764895331,0.7456690821256039,290.6258220096619,12.0,766.6425120772947,0.85
RefSeqV208_nt_time,6.134752012882447,0.7025072463768115,0.7378268921095008,290.61972228019323,12.0,767.9420289855072,0.90
RefSeqV208_nt_time,6.1698293075684365,0.7050740740740742,0.7405056360708534,290.6186890048309,12.0,770.072463768116,0.95
RefSeqV208_nt_time,6.099139291465378,0.7011980676328503,0.7331030595813205,290.614774705314,12.0,770.8743961352657,1.00
