File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
RefSeqV205_Complete_500GB_ani95_cLOW_stTrue_r9_0.15,254.41,57.24,0:22.47,486659968, 24 ,1386%
RefSeqV205_Complete_500GB_ani100_cLOW_stTrue_r5_0.35,267.52,59.92,0:24.39,486614348, 24 ,1342%
RefSeqV205_Complete_500GB_ani95_cLOW_stFalse_r8_0.60,257.09,43.76,0:22.50,307999088, 24 ,1337%
RefSeqV205_Complete_500GB_RH_S005__insert_270_0.90,1779.19,108.66,1:30.04,489158116, 24 ,2096%
RefSeqV205_Complete_500GB_MGRG_nanopore_R6_2d_pass_1.00,9.79,39.48,0:09.13,332871232, 24 ,539%
RefSeqV205_Complete_500GB_ABRF_MGRG_1ng_0.35,58.49,29.10,0:09.67,273386080, 24 ,905%
RefSeqV205_Complete_500GB_Huttenhower_HC2_0.40,10.72,32.74,0:08.67,305747240, 24 ,500%
RefSeqV205_Complete_500GB_ani97_cLOW_stFalse_r5_0.65,260.95,58.52,0:23.89,483952972, 24 ,1337%
RefSeqV205_Complete_500GB_ani99_cHIGH_stFalse_r8_0.20,267.46,61.09,0:24.11,489022288, 24 ,1362%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r2_0.25,267.68,63.93,0:23.54,489399156, 24 ,1408%
RefSeqV205_Complete_500GB_ani97_cHIGH_stTrue_r0_1.00,267.38,61.24,0:23.64,489044648, 24 ,1389%
RefSeqV205_Complete_500GB_Huttenhower_LC1_0.50,2.79,9.62,0:03.68,97522124, 24 ,337%
RefSeqV205_Complete_500GB_ani99_cLOW_stTrue_r1_0.60,260.59,57.34,0:23.25,476732132, 24 ,1367%
RefSeqV205_Complete_500GB_ani100_cHIGH_stFalse_r2_0.70,254.18,57.32,0:22.93,488962900, 24 ,1358%
RefSeqV205_Complete_500GB_MGRG_nanopore_b3.pass.2d_0.85,0.19,0.02,0:00.04,82100, 24 ,524%
RefSeqV205_Complete_500GB_ani99_cLOW_stFalse_r2_0.75,271.98,59.02,0:24.04,471906228, 24 ,1376%
RefSeqV205_Complete_500GB_ABRF_MGRG_10ng_0.60,67.11,33.53,0:10.83,309413148, 24 ,929%
RefSeqV205_Complete_500GB_ani99_cHIGH_stTrue_r5_0.35,265.60,62.65,0:25.07,489419256, 24 ,1309%
RefSeqV205_Complete_500GB_ani100_cLOW_stFalse_r2_0.80,275.99,60.74,0:24.54,481873208, 24 ,1371%
