File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
metaphlan_readsani100_cLOW_stTrue_r8.fastq,2287.34,894.37,5:07.92,2673812, 12 ,1033%
metaphlan_readsUnAmbiguouslyMapped_ds.soil_wavg_g,4.97,3.64,0:00.69,83552, 12 ,1237%
metaphlan_readsani100_cLOW_stTrue_r7.fastq.bowtie2out_wavg_l,40.59,4.74,0:37.82,1130412, 12 ,119%
metaphlan_readsHuttenhower_HC1.fasta.bowtie2out_wavg_l,41.89,4.95,0:38.81,1057716, 12 ,120%
metaphlan_readsMGRG_nanopore_b7.pass.2d.fastq.bowtie2out_med,44.16,4.68,0:41.20,1047716, 12 ,118%
metaphlan_readsani99_cHIGH_stTrue_r4.fastq.bowtie2out_wavg_g,33.18,5.13,0:30.42,1144108, 12 ,125%
metaphlan_readsUnAmbiguouslyMapped_ds.gut.fastq.bowtie2out_med,44.69,5.11,0:42.32,1053540, 12 ,117%
metaphlan_readsRM2_S002__insert_270_avg_g,17316.12,2230.61,27:21.23,2676792, 12 ,1190%
metaphlan_readsani100_cLOW_stTrue_r9_avg_g,1.31,3.23,0:00.73,83328, 12 ,619%
metaphlan_readsZymoMock.fastq.bowtie2out_wavg_g,40.29,4.79,0:37.51,1147704, 12 ,120%
metaphlan_readsani100_cHIGH_stFalse_r3.fastq,2379.99,1037.74,5:35.75,2674220, 12 ,1017%
metaphlan_readsMavromatis_simHC.fasta.bowtie2out_med,45.82,4.78,0:43.05,1048212, 12 ,117%
metaphlan_readsani95_cLOW_stFalse_r1.fastq.bowtie2out_wavg_l,41.87,4.96,0:38.15,1110832, 12 ,122%
metaphlan_readsHuttenhower_HC2_wavg_g,5.85,3.95,0:00.66,83480, 12 ,1486%
metaphlan_readsani100_cLOW_stTrue_r0_sensitive-local,2129.22,376.66,4:09.65,2671720, 12 ,1003%
metaphlan_readsNegControl_LM.fastq.bowtie2out_med,44.32,4.68,0:41.30,1047852, 12 ,118%
metaphlan_readsani97_cHIGH_stFalse_r7_sensitive,1426.25,339.80,3:10.55,2647556, 12 ,926%
metaphlan_readsani97_cHIGH_stFalse_r3_wavg_l,5.05,3.68,0:00.69,83496, 12 ,1250%
