Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean Precision,Mean Recall,Mean F1 score
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.00,0.8203998631883337,0.5473017121927407,0.000716229766509,0.4490062498056652,1.0,0.4933050797084269,0.0014314342971657,2966490.0,120.9611330524714,2.4684411224692098,39557877.77443792,482.0,0.9974615324533312,0.1772151898734177,0.506694920291573,0.496481848695136,0.821369132942357,3.4464726263423,12803.0,9853.246153846154,0.4237685101850469,0.26990475277247,0.0008019104181787,6981.0,0.27400897097962484,0.7245031249028326,0.2473682570027963
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.05,0.818578091477255,0.7206625012487518,0.0023212627669452,0.5899185348714281,1.0,0.6487689889546943,0.0046317739694302,2054255.0,75.74502373293632,1.6204940462571036,39557864.60808183,679.25,0.9939444754984162,0.1095890410958904,0.3512310110453057,0.3236636077472384,0.8022021334364431,3.0115492409107687,5367.0,3536.909722222222,0.445108736612597,0.2719771468438576,0.002347105969618,2154.0,0.3614918820078485,0.794959267435714,0.3267003814620622
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.10,0.8132110319952738,0.724713692298751,0.005599104143337,0.5893451696153726,1.0,0.6500568981944168,0.0111358574610244,2040682.0,54.10728257150747,1.586749817955889,39557717.95397552,365.0,0.988450604122246,0.0298507462686567,0.3499431018055831,0.3212249289583762,0.7439296029134937,2.570201232057585,2814.0,1560.488,0.5062066353777495,0.2621981067231609,0.0043730975599226,893.0,0.365156398221044,0.7946725848076863,0.3305963778277206
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.15,0.8010462983116197,0.7257120343756126,0.0113378684807256,0.5813289387767794,1.0,0.645545802261433,0.0224215246636771,2053121.0,41.1173075235249,1.6296085226284724,39557539.59544867,378.0,0.98015873015873,0.0,0.354454197738567,0.3239614244763218,0.7069676485230356,2.2874604499875497,1638.0,744.0,0.5414170959674989,0.2603933447665547,0.0077383049506852,441.0,0.3685249514281691,0.7906644693883897,0.33398366346255504
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.20,0.7750567457479556,0.7466830614684714,0.0204081632653061,0.5787217437268741,1.0,0.6520599920122758,0.0399999999999999,1986306.0,35.49543557890135,1.664448264336496,39557427.3021238,369.0,0.9691943127962084,0.0,0.3479400079877241,0.3113625604775623,0.7095968964739259,2.2590967218096942,1055.0,414.9411764705882,0.5389433787251069,0.2846415244303816,0.0140550586529621,245.0,0.3835456123668888,0.7893608718634371,0.3460299960061379
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.25,0.7190245950063742,0.7883310161711254,0.036231884057971,0.5668293896334069,1.0,0.6594779286811834,0.0699300699300699,1882595.0,31.172516494605617,1.75328974303951,39557467.311459616,336.5,0.9469820554649266,0.0298507462686567,0.3405220713188165,0.2898235857562638,0.7255802582422807,2.309137223591617,613.0,258.54545454545456,0.523881914465686,0.3248405822659571,0.026406178962124,138.0,0.4122814501145482,0.7834146948167034,0.36470399930562664
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.30,0.6124787786449426,0.8829800897860841,0.0746268656716417,0.5408065669599826,1.0,0.6707766627656992,0.1388888888888888,1707317.0,22.221902750033266,1.893359345416832,39557407.82371108,265.5,0.8879310344827587,0.0845070422535211,0.3292233372343008,0.2542301653016332,0.7514645758208772,2.350807521543307,290.0,72.6,0.4985499773313038,0.3875326339153126,0.0600533029994607,67.0,0.4788034777288629,0.7704032834799913,0.40483277582729404
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.35,0.4545884767264699,0.9674521649081192,0.1282051282051282,0.4397926059513075,1.0,0.6046969476082393,0.2272727272727272,1849268.0,18.21530429496731,2.368139312043158,39557486.1675575,200.5,0.7257383966244726,0.0579710144927536,0.3953030523917606,0.2084683878681423,0.7700366136819505,2.37318743720266,118.5,40.0,0.47955744294582,0.4490079163196626,0.1115004699294303,39.0,0.5478286465566238,0.7198963029756538,0.41598483744048326
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.40,0.2793790615963434,0.9660070939587828,0.1923076923076923,0.2698821554056155,1.0,0.4218955327733289,0.3225806451612903,2378675.0,16.876445445894536,3.407482509375433,39557646.01983891,646.75,0.656084656084656,0.1095890410958904,0.578104467226671,0.2491417467343193,0.7650195610625006,2.348345108790022,94.5,27.0,0.484761297525388,0.4996011542764204,0.16367974557988,26.0,0.5791573931332376,0.6349410777028077,0.3722380889673096
ABRF_MGRG_10ng-kraken2_refseqV205_500GB-0.45,0.1347206243586953,0.9913403727424844,0.25,0.1335539939678492,1.0,0.2353953759205343,0.4,2790329.0,14.278559434642832,4.935476640942267,39555582.52823691,241.0,0.6012269938650306,0.0,0.7646046240794656,0.2354670821072066,0.7555519292834593,2.2204211406525163,81.5,20.0,0.4944385818315214,0.5137570759863335,0.2045424202098917,20.0,0.6206701863712423,0.5667769969839246,0.31769768796026715
