Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,Mean F1 score,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.55,0.735478063,0.608156184,0.092592593,0.447285532,1,0.515460888,0.169491525,0.342476207,2704441,23.6574014,2.502268522,39556721.42,451.5,0.825268817,0.057971014,0.484539112,0.463775788,0.777759062,2.534997126,186,54.25,0.471434934,0.440494645,0.083326316
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.60,0.731099468,0.611798465,0.119047619,0.447285532,1,0.516764681,0.212765957,0.364765319,2690359,22.2588839,2.502268522,39556686.88,451.5,0.795597484,0.057971014,0.483235319,0.461762123,0.775117759,2.492912672,159,42.33333333,0.474225774,0.462308221,0.105875518
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.65,0.706709679,0.632912701,0.125,0.447285532,1,0.524149523,0.222222222,0.373185873,2611919,20.60975221,2.502268522,39556726.98,440,0.791666667,0.029850746,0.475850477,0.450088941,0.760475093,2.356064788,156,40.33333333,0.489421216,0.442708873,0.104373279
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.70,0.706664594,0.632953081,0.131578947,0.447285532,1,0.52416337,0.23255814,0.378360755,2611774,20.54248728,2.502268522,39556717.75,440,0.787581699,0.029850746,0.47583663,0.450066617,0.760444532,2.355206155,153,38.33333333,0.489452008,0.448787859,0.109852594
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.75,0.705066074,0.634388107,0.138888889,0.447285532,1,0.524654779,0.243902439,0.384278609,2606633,19.60305937,2.502268522,39556274.61,440,0.778911565,0.029850746,0.475345221,0.449273251,0.759362203,2.337348213,147,36,0.490556038,0.452104859,0.115433976
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.80,0.704394142,0.634993259,0.172413793,0.447285532,1,0.524861616,0.294117647,0.409489632,2604472,18.5792911,2.502268522,39556149.96,440,0.733606557,0.029850746,0.475138384,0.448938687,0.758903324,2.327505006,122,29,0.491022032,0.479109533,0.143024612
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.85,0.701191816,0.637893258,0.2,0.447285532,1,0.525849617,0.333333333,0.429591475,2594173,16.94048235,2.502268522,39552290.25,441.5,0.712389381,0.029850746,0.474150383,0.447335399,0.756714131,2.29426387,113,25,0.493245423,0.494042833,0.164415633
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.90,0.700702093,0.638339084,0.25,0.447285532,1,0.526001037,0.4,0.463000518,2592598,16.13767729,2.502268522,39551775.42,441.5,0.615384615,0.029850746,0.473998963,0.44708892,0.756374202,2.286683252,84.5,20,0.493588802,0.529088685,0.205232781
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_0.95,0.700391157,0.638622472,0.294117647,0.447285532,1,0.526097222,0.454545455,0.490321338,2591598,15.44624388,2.502268522,39549869.35,441.5,0.569536424,0.029850746,0.473902778,0.446932247,0.756157938,2.281643656,75.5,17,0.493807175,0.558205357,0.241236188
ABRF_MGRG_10ng-kraken2_refseqV205-0.00_filtered_1.00,0.700377165,0.638635231,0.333333333,0.447285532,1,0.526101551,0.5,0.513050776,2591553,15.41965076,2.502268522,39549844.18,441.5,0.518518519,0.029850746,0.473898449,0.446925193,0.756148196,2.281333268,67.5,15,0.493816601,0.583925557,0.27339009
