Sample name,Proportion classified,Precision reads,Precision taxa,Recall reads,Recall taxa,F1 score reads,F1 score taxa,L1 distance,Aitchisons distance,Robust Aitchisons distance,Weighted unifrac distance raw,Weighted unifrac distance relative abundance,Unweighted unifrac distance raw,Unweighted unifrac distance relative abundance,Bray-Curtis dissimilarity raw,Bray-Curtis dissimilarity relative abundance,Simpson's diversity,Shannon diversity,Faith's phylogenetic diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa,Mean Precision,Mean Recall,Mean F1 score
ABRF_MGRG_10ng-kraken2_refseqV205-0.00,0.8227269052579211,0.543662216,0.000568569,0.447285532,1.0,0.490787217,0.001136493,2985042.0,134.4206558,2.502268522227628,39557878.78417921,468.5,0.9978451133801884,0.1333333333333333,0.509212783,0.499431816,0.8220320144768932,3.5834892971820924,15082.0,12286.50569,0.4232691122808928,0.2735007024088711,0.0006389570320966,8794.0,0.2721153925,0.723642766,0.245961855
ABRF_MGRG_10ng-kraken2_refseqV205-0.05,0.8227300146139734,0.606697249,0.00169262,0.499148036,1.0,0.547692782,0.00337952,2651462.0,81.12914614,2.103033819358706,39557712.85347616,429.0,0.994894753377317,0.0298507462686567,0.452307218,0.436395864,0.7950428673497638,2.847024541703456,6366.0,4517.613924,0.4532277318196988,0.246956314727837,0.0016516821387436,2954.0,0.3041949345,0.749574018,0.275536151
ABRF_MGRG_10ng-kraken2_refseqV205-0.10,0.8221669102328908,0.6634344,0.003615329,0.545453811,1.0,0.598686989,0.007204611,2351803.0,62.13627907,1.809331086618944,39557639.5755849,384.5,0.990811422109132,0.0298507462686567,0.401313011,0.379825208,0.798998426839036,2.7410451148889363,3537.0,2274.049751,0.448566437172526,0.2627136309324827,0.0035973141285251,1383.0,0.33352486449999996,0.7727269055,0.3029458
ABRF_MGRG_10ng-kraken2_refseqV205-0.15,0.8212683063337582,0.770304636,0.006443299,0.632626784,1.0,0.694710144,0.012804097,1788199.0,53.76621166,1.4462727179188648,39557627.38635563,334.5,0.9857017157941048,0.0298507462686567,0.305289856,0.273221138,0.756861626149282,2.537626881650255,2273.0,1306.1,0.4932353587386588,0.2643385334186131,0.0053001086311683,776.0,0.3883739675,0.8163133920000001,0.35375712049999997
ABRF_MGRG_10ng-kraken2_refseqV205-0.20,0.8200970119088337,0.740441946,0.011389522,0.607234228,1.0,0.667254793,0.022522523,1947762.0,44.56001701,1.5308317021042128,39557540.98844053,359.0,0.9768353528153956,0.0298507462686567,0.332745207,0.303431641,0.7279309012636039,2.385828067895216,1403.0,753.2857143,0.5216890681224585,0.2717939285208243,0.0083725213138786,439.0,0.375915734,0.803617114,0.344888658
ABRF_MGRG_10ng-kraken2_refseqV205-0.25,0.8184956935418675,0.718508155,0.018587361,0.58809583,1.0,0.646793756,0.03649635,2065714.0,37.46870054,1.6291635169677996,39557304.64253587,391.0,0.9630261660978384,0.0298507462686567,0.353206244,0.325842551,0.7032861838651185,2.259886623538099,879.0,395.0344828,0.5447698982118272,0.279984781199213,0.0125288136810899,269.0,0.368547758,0.7940479149999999,0.341645053
ABRF_MGRG_10ng-kraken2_refseqV205-0.30,0.8161916607070676,0.695668572,0.03164557,0.567798887,1.0,0.62526318,0.061349693,2188858.0,30.83979823,1.7897418557238798,39557319.24882144,423.0,0.9389097744360902,0.0,0.37473682,0.349371913,0.677468916055322,2.1579901882894785,532.0,182.1666667,0.5679521713455838,0.2954620713153356,0.0196232680789806,158.0,0.363657071,0.7838994435,0.34330643650000003
ABRF_MGRG_10ng-kraken2_refseqV205-0.35,0.8131786946923292,0.696337731,0.042016807,0.566247007,1.0,0.624590405,0.080645161,2189150.0,27.66347213,1.818343874399425,39557242.40635628,425.5,0.9128686327077749,0.0,0.375409595,0.34961067,0.6721640225180783,2.1175430155930623,373.0,136.1,0.57259546210111,0.3071209549383541,0.0256328222700975,119.0,0.369177269,0.7831235034999999,0.35261778299999996
ABRF_MGRG_10ng-kraken2_refseqV205-0.40,0.8088856067908337,0.691660865,0.054945055,0.559474519,1.0,0.618584743,0.104166667,2218905.0,25.1167964,1.9676185988027104,39557280.12240338,426.5,0.8930921052631579,0.0,0.381415257,0.355592885,0.6665964391678556,2.0976572693515627,304.0,95.0,0.5774310615843663,0.3223299727982069,0.0329600888532307,91.0,0.37330296,0.7797372595000001,0.361375705
ABRF_MGRG_10ng-kraken2_refseqV205-0.45,0.8024197008799477,0.706284666,0.066666667,0.566736731,1.0,0.628862113,0.125,2151398.0,23.55344688,1.9996235813269367,39556953.304792784,404.5,0.868421052631579,0.0,0.371137887,0.342961457,0.6693062203251654,2.0673500317966,247.0,87.0,0.575076295504728,0.3319008201267802,0.0403192746668648,75.0,0.3864756665,0.7833683655,0.3769310565
ABRF_MGRG_10ng-kraken2_refseqV205-0.50,0.793412829203072,0.730174649,0.075757576,0.579329934,1.0,0.646064224,0.14084507,2041429.0,21.34544114,1.950402834817048,39556772.91402544,395.5,0.8529411764705882,0.0,0.353935776,0.321900933,0.6839736156245193,2.0882363045921526,221.0,69.0,0.5621765607302464,0.3454831474182223,0.0479438296946534,66.0,0.4029661125,0.789664967,0.393454647
ABRF_MGRG_10ng-kraken2_refseqV205-0.55,0.778331830477908,0.763090581,0.092592593,0.593937689,1.0,0.667971723,0.169491525,1898967.0,18.82423749,1.915078053762449,39556090.83926,356.5,0.8252688172043011,0.0,0.332028277,0.29386923,0.6942349993476371,2.0692501817615594,186.0,55.2,0.5529719242059012,0.3595639673205869,0.0605645462332459,54.0,0.427841587,0.7969688445,0.41873162399999997
ABRF_MGRG_10ng-kraken2_refseqV205-0.60,0.756896551724138,0.791966741,0.119047619,0.599436896,1.0,0.682381549,0.212765957,1794657.0,16.98761653,1.894300505647442,39556205.27026126,336.0,0.7955974842767296,0.0,0.317618451,0.285259761,0.7075116527580416,2.1034275616831213,159.0,42.0,0.5408310274139311,0.3900785871391055,0.081403324385527,42.0,0.45550718,0.799718448,0.447573753
ABRF_MGRG_10ng-kraken2_refseqV205-0.65,0.7240614408755947,0.822269431,0.125,0.595373589,1.0,0.690664004,0.222222222,1715192.0,16.67648639,2.1325210509551558,39556528.74701808,349.5,0.7916666666666666,0.0,0.309335996,0.294732665,0.7096873841711933,2.0791026954352327,156.0,40.0,0.5388156830571031,0.3906671902299041,0.0861140668263006,40.0,0.4736347155,0.7976867945,0.456443113
ABRF_MGRG_10ng-kraken2_refseqV205-0.70,0.6779179751873387,0.853621967,0.131578947,0.578685675,1.0,0.689766346,0.23255814,1674130.0,16.71297729,2.2800176106262784,39556771.116016425,352.5,0.7875816993464052,0.0,0.310233654,0.29991634,0.7136854317604866,2.087136618017111,153.0,38.0,0.535092782885554,0.3977068304907994,0.091912156742475,38.0,0.492600457,0.7893428375,0.46116224299999997
